NOMBREMALL,NOMBRESUBGERENTE,CODCONTRATO,NOMBRELOCATARIO,TAMACTUAL,INCREMENTOSUGERIDO,TAMSUGERIDA,TAMPROPUESTA
Mall Aventura Chiclayo,LM Cornejo,3002301,PORTA ACH,114.7559424,0.085637424,124.5833457,NULL
Mall Aventura Iquitos,N/A,3002747,ROCK & RELIGION AIQ,95,0.0014,95.133,NULL
Mall Aventura Chiclayo,LM Cornejo,3002518,SAMSUNG ACH,124.2763755,0.085637424,134.9190841,NULL
Mall Aventura Santa Anita,N/A,3002906,PEQUEÑAS TRAVESURAS ASA,90,0.102342316,99.21080848,NULL
Mall Aventura Santa Anita,LM Cornejo,3001516,MILK  ASA,89.98201439,0.128614368,101.5549943,NULL
Mall Aventura Santa Anita,N/A,3002808,LCM NUTRITION ASA,104.3459137,0.097341886,114.5031418,NULL
Mall Aventura Iquitos,N/A,3002947,LEXUS KIDS AIQ,85,0.100096095,93.50816806,NULL
Mall Aventura Iquitos,N/A,3002998,ILAHUI AIQ,80,0.101547458,88.12379662,NULL
Mall Aventura Iquitos,N/A,3002716,BISSU AIQ,95,0.100096095,104.509129,NULL
Mall Aventura Santa Anita,N/A,3002643,THN BY TRIATHLON ASA,102.5038385,0.129046069,115.7315558,NULL
Mall Aventura Santa Anita,LM Cornejo,3001988,VIALE ASA II,110.6949521,0.130161952,125.1032231,NULL
Mall Aventura Arequipa,LM Cornejo,3002359,AMERICAN BRANDS AAQ,83.69303351,0.112308544,93.09247627,NULL
Mall Aventura Arequipa,LM Cornejo,3000781,MALOKO MODA Y ACCESORIOS - AAQ,120.8088183,0.099999609,132.889653,NULL
Mall Aventura Arequipa,LM Cornejo,3001969,OCEANO MOCHILAS AAQ,196.1520612,0.086561367,213.1312518,NULL
Mall Aventura Arequipa,LM Cornejo,3002325,LEGO AAQ,100.0829404,0.088709475,108.9612455,NULL
Mall Aventura Arequipa,LM Cornejo,3001917,ESIKA AAQ,174.392807,0.0217,178.1771309,NULL
Mall Aventura Arequipa,LM Cornejo,3002602,THE BOX AAQ,30,0.081738053,32.4521416,NULL
Mall Aventura Arequipa,E Maldonado,3001180,JUAN VALDEZ AAQ,148.5938031,0.0501,156.0383526,NULL
Mall Aventura Arequipa,E Maldonado,3001903,EMBARCADERO 41 AAQ,69.0606916,0.038,71.68499788,NULL
Mall Aventura Arequipa,LM Cornejo,3000845,QUALITY STORE - AAQ,123.3718375,0.112308544,137.227549,NULL
Mall Aventura Arequipa,E Maldonado,3001344,SALCHICHERIA LA ALEMANA RENOV AAQ,136.5,0.087500177,148.4437741,NULL
Mall Aventura Arequipa,E Maldonado,1000036,MOVISTAR - AAQ,153.0233283,0.093749976,167.3692616,NULL
Mall Aventura Arequipa,E Maldonado,3002568,DON CALLETANO AAQ,50.42735371,0.13,56.98290969,NULL
Mall Aventura Arequipa,E Maldonado,3000138,CINEMARK  AAQ,46.76395763,0.014,47.41865303,NULL
Mall Aventura Arequipa,LM Cornejo,3001786,TAI LOY AAQ,45.62690541,0.099999952,50.18959375,NULL
Mall Aventura Arequipa,E Maldonado,3000055,HAPPYLAND  AAQ,34.68659968,0.096533807,38.03502918,NULL
Mall Aventura Arequipa,E Maldonado,3002596,PAPA JHONS FC AAQ,130.0722775,0.2,156.086733,NULL
Mall Aventura Arequipa,E Maldonado,3002743,KFC II AAQ,45.31747376,0.261523689,57.16906667,NULL
Mall Aventura Arequipa,E Maldonado,3000107,MC DONALDS FC  AAQ,92.96630389,0.096533807,101.9406951,NULL
Mall Aventura Arequipa,E Maldonado,3000108,MC DONALDS HELADOS (TOTTUS)  AAQ,158.8424528,0.115284887,177.154587,NULL
Mall Aventura Chiclayo,LM Cornejo,3002405,ILAHUI ACH,23.91229956,0.094734224,26.17761269,NULL
Mall Aventura Chiclayo,E Maldonado,3002561,RUSTICA ACH,43.38008531,0.198925825,52.00950457,NULL
Mall Aventura Chiclayo,E Maldonado,3002324,ENTRE PELOTAS ACH,51.63506584,0.069,55.19788538,NULL
Mall Aventura Chiclayo,LM Cornejo,3002253,INKAFARMA ACH,153.0121129,0.066092095,163.125004,NULL
Mall Aventura Santa Anita,E Maldonado,3000806,OTTO GRILL  ASA,160.0743063,0.088937041,174.3108414,NULL
Mall Aventura Iquitos,N/A,3002752,NEW ATHLETIC AIQ,80,0.0537,84.296,NULL
Mall Aventura Santa Anita,E Maldonado,3002642,DOLCHE FRUTA ASA II,86.3190042,0.148556809,99.14227998,NULL
Mall Aventura Santa Anita,LM Cornejo,3002590,THE BOX ASA II,25.04867638,0.0985,27.515971,NULL
Mall Aventura Santa Anita,LM Cornejo,3002452,KAMILL ASA II,104.9025553,0.102342316,115.6385258,NULL
Mall Aventura Santa Anita,LM Cornejo,3002263,ISHOP ASA,85.66502953,0.102342316,94.43218709,NULL
Mall Aventura Chiclayo,LM Cornejo,3002230,TAI LOY ACH,41.4309554,0.071874944,44.40880299,NULL
Mall Aventura Iquitos,N/A,3002892,PLATANITOS AIQ,75,0.0541,79.0575,NULL
Mall Aventura Santa Anita,LM Cornejo,3002221,MINISO ASA II,46.81729391,0.109908198,51.96289831,NULL
Mall Aventura Chiclayo,E Maldonado,3002346,PIZZA HUT ACH,107.3378995,0.092094254,117.2231033,NULL
Mall Aventura Santa Anita,E Maldonado,3000737,NORKYS REST LOCAL - TERRAZA ASA,65.20265321,0.096207167,71.47561575,NULL
Mall Aventura Chiclayo,LM Cornejo,3002447,ADIDAS ACH,75.76303389,0.034,78.33897704,NULL
Mall Aventura Chiclayo,LM Cornejo,3002262,TOPITOP ACH,34.66573847,0.117593503,38.74220409,NULL
Mall Aventura Iquitos,N/A,3002709,ISADORA AIQ,70,0.125410255,78.77871784,NULL
Mall Aventura Arequipa,LM Cornejo,3002201,TIZZA AAQ,134.3281983,0.100000167,147.7610405,NULL
Mall Aventura Arequipa,LM Cornejo,3000037,PIONIER  AAQ,83.45184708,0.106639037,92.35107168,NULL
Mall Aventura Chiclayo,LM Cornejo,3002683,THE BOX ACH,32,0.066666667,34.13333333,NULL
Mall Aventura Chiclayo,E Maldonado,3002348,CHILIS ACH,36.95349913,0.198925825,44.30450442,NULL
Mall Aventura Chiclayo,N/A,3002347,BURGER KING ACH,77.5218193,0.081031821,83.80355347,NULL
Mall Aventura Chiclayo,N/A,3002976,SUBWAY FC ACH,70,0.081031821,75.67222746,NULL
Mall Aventura Iquitos,N/A,3002991,CURACAO AIQ,40,0.101547458,44.06189831,NULL
Mall Aventura Iquitos,N/A,3003080,TUTTI FRUTTI FC AIQ,68.06579694,0.092974973,74.39421255,NULL
Mall Aventura Iquitos,N/A,3003099,UMARI FC AIQ,71.31395971,0.092974973,77.94437317,NULL
Mall Aventura Iquitos,N/A,3003086,HONG KONG FC AIQ,35.59006714,0.092974973,38.89905266,NULL
Mall Aventura Iquitos,N/A,3002801,MOVIE TIME AIQ,9,0.1064,9.9576,NULL
Mall Aventura Chiclayo,LM Cornejo,3002242,TIZZA ACH,95,0.055555556,100.2777778,NULL
Mall Aventura Chiclayo,N/A,3002969,KENDO SUSHI FC ACH,90,0.081031821,97.29286387,NULL
Mall Aventura Chiclayo,LM Cornejo,3002216,BE SIFRAH ACH,134.0403204,0.103864415,147.9623398,NULL
Mall Aventura Chiclayo,LM Cornejo,3002129,ISADORA ACH,154.4961739,0.065518461,164.6185255,NULL
Mall Aventura Chiclayo,N/A,3002478,SUPER PET ACH,116.6156943,0.099609511,128.2317266,NULL
Mall Aventura Chiclayo,LM Cornejo,3002272,QUALITY STORE ACH,141.4928731,0.085637424,153.6099582,NULL
Mall Aventura Arequipa,LM Cornejo,3002671,JOAQUIM MIRO AAQ,96.57649123,0.112308544,107.4228564,NULL
Mall Aventura Arequipa,LM Cornejo,3002022,CALIMOD AAQ,110,0.112308544,122.3539399,NULL
Mall Aventura Arequipa,LM Cornejo,3002041,BE SIFRAH AAQ,177.3736842,0.090322637,193.3945431,NULL
Mall Aventura Arequipa,LM Cornejo,3000161,KAYSER  AAQ,131.439119,0.051315997,138.1840484,NULL
Mall Aventura Arequipa,N/A,3002983,PORTA AAQ,115,0.112308544,127.9154826,NULL
Mall Aventura Arequipa,E Maldonado,3000877,STARBUCKS LOCAL - TERRAZA AAQ,54.85886454,0.071467555,58.77949346,NULL
Mall Aventura Arequipa,LM Cornejo,3002510,NOW AAQ,93.84052632,0.112308544,104.3796192,NULL
Mall Aventura Arequipa,LM Cornejo,3002168,CROCS AAQ,109.9303509,0.112308544,122.2764686,NULL
Mall Aventura Arequipa,N/A,3003093,RENZO COSTA AAQ,160,0.112308544,177.9693671,NULL
Mall Aventura Arequipa,LM Cornejo,3000045,LA IBERICA  AAQ,195.8818745,0.072415356,210.0667303,NULL
Mall Aventura Arequipa,LM Cornejo,3001505,ADIDAS AAQ,113.2887271,0.108090401,125.5341511,NULL
Mall Aventura Arequipa,LM Cornejo,3001150,VIALE AAQ,111.1859006,0.111111397,123.5399213,NULL
Mall Aventura Arequipa,LM Cornejo,3002581,SUPER PET AAQ,92.35665129,0.081,99.83754005,NULL
Mall Aventura Arequipa,LM Cornejo,3001183,CRISOL AAQ,142.6389477,0.054839066,150.4611344,NULL
Mall Aventura Chiclayo,LM Cornejo,3002418,CASA BEBE ACH,82.6063801,0.085637424,89.68057769,NULL
Mall Aventura Arequipa,LM Cornejo,3001761,MAUI AND SONS AAQ,80,0.0865,86.92,NULL
Mall Aventura Arequipa,E Maldonado,3001918,MONTALVO SPA AAQ,91.55002398,0.0163,93.04228937,NULL
Mall Aventura Arequipa,LM Cornejo,3002414,XIAOMI AAQ,126.912331,0.112308544,141.1656701,NULL
Mall Aventura Arequipa,LM Cornejo,3002014,ADIDAS ORIGINALS AAQ,89.78200333,0.114409521,100.0539193,NULL
Mall Aventura Arequipa,LM Cornejo,3001905,SOLE - AAQ,125.5845223,0.119512667,140.5934635,NULL
Mall Aventura Arequipa,E Maldonado,3002668,SUBWAY FC AAQ,140.2684211,0.0091,141.5448637,NULL
Mall Aventura Arequipa,E Maldonado,3001879,EL EKEKO AAQ,67.71313483,0.055727568,71.48662318,NULL
Mall Aventura Arequipa,E Maldonado,3000057,BEMBOS  AAQ,115.6345689,0.096533807,126.797214,NULL
Mall Aventura Arequipa,E Maldonado,3001975,TANTA AAQ,40.88970948,0.063443788,43.48390753,NULL
Mall Aventura Chiclayo,E Maldonado,3002349,STARBUCKS ACH,45.09496299,0.198925825,54.0655157,NULL
Mall Aventura Arequipa,E Maldonado,3001921,PIZZA HUT FC AAQ,130.633968,0.085107495,141.7518978,NULL
Mall Aventura Arequipa,LM Cornejo,3000021,CASA & IDEAS  AAQ,26.43557089,0.099999952,29.0791267,NULL
Mall Aventura Chiclayo,LM Cornejo,3002569,NORTON ACH,97.60514198,0.085637424,105.9637949,NULL
Mall Aventura Chiclayo,N/A,3002701,MAC CENTER ACH,70,0.160621212,81.24348484,NULL
Mall Aventura Iquitos,N/A,3002717,SKECHERS AIQ,84.46514139,0.12597112,95.10530981,NULL
Mall Aventura Iquitos,N/A,3002663,TOPITOP AIQ,29.81143969,0.101547458,32.8387156,NULL
Mall Aventura Iquitos,N/A,3002864,PORTA AIQ,69.3597561,0.100096095,76.30239682,NULL
Mall Aventura Iquitos,N/A,3003047,LA NUMERO 1 AIQ,70,0.100096095,77.00672664,NULL
Mall Aventura Iquitos,N/A,3002824,ARUMA AIQ,90,0.100096095,99.00864854,NULL
Mall Aventura Iquitos,N/A,3002745,CROCS AIQ,75,0.100096095,82.50720712,NULL
Mall Aventura Iquitos,N/A,3002718,TM AIQ,70,0.094,76.58,NULL
Mall Aventura Chiclayo,LM Cornejo,3002165,INBOX ACH,79.20058184,0.058193501,83.80954095,NULL
Mall Aventura Chiclayo,E Maldonado,3002460,CHANIS PASTELERIA ACH,110.7305389,0.085637424,120.213217,NULL
Mall Aventura Chiclayo,LM Cornejo,3002435,TOMMY HILFIGER ACH,65.03615803,0.085637424,70.60568707,NULL
Mall Aventura Chiclayo,N/A,3002785,ARUMA ACH,115.5561834,0.085637424,125.4521172,NULL
Mall Aventura Chiclayo,LM Cornejo,3002403,ASIA ORIENTAL ACH,69.25360668,0.09935098,76.13402038,NULL
Mall Aventura Chiclayo,N/A,3002786,TAMBO ACH,70.95520676,0.085637424,77.03162788,NULL
Mall Aventura Chiclayo,LM Cornejo,3002139,CROCS ACH,122.1314887,0.085637424,132.5905147,NULL
Mall Aventura Chiclayo,LM Cornejo,3002254,PLATANITOS ACH,111.2279768,0.085637424,120.7532542,NULL
Mall Aventura Chiclayo,N/A,3002949,BELLA BOUTIQUE ACH,93,0.085637424,100.9642804,NULL
Mall Aventura Chiclayo,LM Cornejo,3002664,JOAQUIM MIRO ACH,72.33053515,0.085637424,78.52473585,NULL
Mall Aventura Chiclayo,LM Cornejo,3002434,CALVIN KLEIN ACH,65.03615252,0.085637424,70.60568108,NULL
Mall Aventura Chiclayo,LM Cornejo,3002267,SOLE - ACH,179.7949818,0.065071254,191.4944667,NULL
Mall Aventura Santa Anita,N/A,3002685,LC WAIKIKI ASA II,22,0.1524,25.3528,NULL
Mall Aventura Santa Anita,LM Cornejo,3002183,LA CURACAO ASA II,36.48671737,0.109908198,40.49690672,NULL
Mall Aventura Santa Anita,LM Cornejo,3002003,ARUMA ASA II,111.1064731,0.102342316,122.477367,NULL
Mall Aventura Santa Anita,E Maldonado,3000757,STARBUCKS LOCAL - TERRAZA ASA,62.45520564,0.149068214,71.76529157,NULL
Mall Aventura Santa Anita,E Maldonado,3000761,PINKBERRY - ASA,127.4413306,0.0014,127.6197485,NULL
Mall Aventura Santa Anita,LM Cornejo,3002485,SAMSUNG ASA,137.3009859,0.102342316,151.3526868,NULL
Mall Aventura Santa Anita,LM Cornejo,3001860,LISTO! ASA,104.4244762,0.102342316,115.111519,NULL
Mall Aventura Santa Anita,LM Cornejo,3002076,THE ATHLETES FOOT ASA II,109.4112925,0.112,121.6653572,NULL
Mall Aventura Santa Anita,LM Cornejo,3002075,CREPIER ASA II,155.6089333,0.067741883,166.1501755,NULL
Mall Aventura Santa Anita,LM Cornejo,3002503,BOH CALZADO ASA,75,0.102342316,82.67567373,NULL
Mall Aventura Santa Anita,N/A,3003059,DERMOTIENDA ASA,95,0.102342316,104.7225201,NULL
Mall Aventura Santa Anita,E Maldonado,3000758,CHILI'S  ASA,64.02729363,0.0005,64.05930728,NULL
Mall Aventura Santa Anita,LM Cornejo,3002335,BOTICAS HOGAR Y SALUD ASA II,107.9691621,0.095833089,118.3161804,NULL
Mall Aventura Santa Anita,N/A,3002967,MONTAO - ASA,156.5188285,0.080964012,169.1912208,NULL
Mall Aventura Santa Anita,E Maldonado,3002598,BOCATTA ASA II,43.45420705,0.106275699,48.07233328,NULL
Mall Aventura Santa Anita,E Maldonado,3001788,LONG HORN ASA,56.11746988,0.080531129,60.63667308,NULL
Mall Aventura Santa Anita,E Maldonado,3002711,PAPA JHONS FC ASA,127.0583772,0.070700121,136.0414199,NULL
Mall Aventura Santa Anita,LM Cornejo,3002220,TAI LOY ASA II,42.69346688,0.092283862,46.6333849,NULL
Mall Aventura Santa Anita,E Maldonado,3002202,RUSTICA ASA II,46.82462337,0.363855889,63.86203835,NULL
Mall Aventura Santa Anita,E Maldonado,3002197,TGI FRIDAYS ASA II,48.85791081,0.1419755,55.79453712,NULL
Mall Aventura Santa Anita,E Maldonado,3002199,LA LEÑA ASA II,57.46660006,0.089948548,62.63563727,NULL
Mall Aventura Santa Anita,E Maldonado,3002097,HAPPYLAND ASA II,30.38059995,0.166665209,35.443989,NULL
Mall Aventura Santa Anita,E Maldonado,3001922,KFC ASA,49.73476489,0.082587751,53.84224729,NULL
Mall Aventura Santa Anita,E Maldonado,1000011,MOVISTAR CENTRO DE ATENCION ASA,161.2590508,0.14561825,184.7413116,NULL
Mall Aventura Iquitos,N/A,3002726,CREDIVARGAS AIQ,40,0.101547458,44.06189831,NULL
Mall Aventura Santa Anita,N/A,3002839,THIKA THANI ASA II,67.02390662,0.102342316,73.88328848,NULL
Mall Aventura Santa Anita,LM Cornejo,3001470,SQUEEZE ASA,59.76079347,0.102342316,65.8768515,NULL
Mall Aventura Santa Anita,LM Cornejo,3000630,ECONOLENTES  ASA,162.2693445,0.102342316,178.8763651,NULL
Mall Aventura Santa Anita,LM Cornejo,3002051,CALIMOD ASA II,90,0.135588023,102.202922,NULL
Mall Aventura Santa Anita,N/A,3003046,LOVISA ASA,105,0.108384669,116.3803903,NULL
Mall Aventura Santa Anita,LM Cornejo,3000701,BABY INFANTI  ASA,138.38681,0.111912057,153.8739626,NULL
Mall Aventura Santa Anita,LM Cornejo,3000571,ROSATEL - ASA,227,0.093750939,248.2814631,NULL
Mall Aventura Santa Anita,LM Cornejo,3001990,ADIDAS ASA II,74.35614201,0.109908198,82.52849157,NULL
